                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.93776,                 1.2444,                 1.2079,                0.46332,                0.94595,                   0.87,                0.40724,                  1.306,                 2.6705,                 1.5012,             0.00041763,             0.00041763,             0.00041763
                     56,                0.96664,                 1.0947,                  1.132,                0.46332,                0.94595,                   0.87,                0.40724,                  1.306,                 2.6705,                 1.5012,             0.00041598,             0.00041598,             0.00041598
                     57,                0.96881,                 1.1313,                 1.2321,                0.00486,                      1,                0.82833,                0.43937,                 1.4773,                 2.6777,                 1.6538,               0.000414,               0.000414,               0.000414
                     58,                 1.0483,                 1.0735,                 1.1912,                0.00486,                      1,                0.82833,                0.43937,                 1.4773,                 2.6777,                 1.6538,             0.00041169,             0.00041169,             0.00041169
                     59,                0.92893,                 1.2944,                 1.2463,                0.00486,                      1,                  0.845,                0.42932,                 1.6643,                 2.6158,                  1.836,             0.00040905,             0.00040905,             0.00040905
                     60,                0.90234,                  1.506,                 1.2016,                0.00486,                      1,                  0.845,                0.42932,                 1.6643,                 2.6158,                  1.836,             0.00040608,             0.00040608,             0.00040608
                     61,                 1.2634,                 1.4626,                 1.3636,                0.00486,                      1,                0.67125,                 0.3274,                  1.681,                 2.7496,                 1.8602,             0.00040278,             0.00040278,             0.00040278
                     62,                 1.0154,                 1.3116,                 1.2222,                0.00486,                      1,                0.67125,                 0.3274,                  1.681,                 2.7496,                 1.8602,             0.00039915,             0.00039915,             0.00039915
                     63,                 1.0076,                 0.9984,                 1.2204,                0.46839,                   0.75,                0.66292,                 0.2772,                 1.8031,                 2.7699,                 2.0751,             0.00039519,             0.00039519,             0.00039519
                     64,                0.98927,                 1.4177,                 1.2352,                0.46839,                   0.75,                0.66292,                 0.2772,                 1.8031,                 2.7699,                 2.0751,              0.0003909,              0.0003909,              0.0003909
                     65,                 1.3364,                 1.3692,                 1.4381,                0.62226,                   0.25,                0.64299,                0.24697,                 2.0419,                 2.7914,                 2.2432,             0.00038629,             0.00038629,             0.00038629
                     66,                 0.9016,                 1.1426,                 1.1094,                0.62226,                   0.25,                0.64299,                0.24697,                 2.0419,                 2.7914,                 2.2432,             0.00038134,             0.00038134,             0.00038134
                     67,                0.94137,                 1.0111,                 1.2136,                0.74871,                   0.25,                0.77132,                0.28473,                 2.0812,                 2.8224,                 2.2986,             0.00037606,             0.00037606,             0.00037606
                     68,                 1.0096,                 1.1386,                 1.1824,                0.74871,                   0.25,                0.77132,                0.28473,                 2.0812,                 2.8224,                 2.2986,             0.00037045,             0.00037045,             0.00037045
                     69,                0.72206,                0.94888,                 1.0171,                0.92271,                   0.25,                0.52403,                0.28525,                 1.8628,                 2.8327,                 2.0124,             0.00036451,             0.00036451,             0.00036451
